,Ville,Code,Ville+Code
90,ambléon,01300,ambléon-01300
91,saint-maurice-de-gourdans,01800,saint-maurice-de-gourdans-01800
92,chézery-forens,01200,chézery-forens-01200
93,sault-brénaz,01150,sault-brénaz-01150
94,murs-et-gélignieux,01300,murs-et-gélignieux-01300
95,le petit-abergement,01260,le petit-abergement-01260
96,cormoz,01560,cormoz-01560
97,saint-martin-de-bavel,01510,saint-martin-de-bavel-01510
98,saint-trivier-de-courtes,01560,saint-trivier-de-courtes-01560
99,boyeux-saint-jérôme,01640,boyeux-saint-jérôme-01640
100,château-gaillard,01500,château-gaillard-01500
101,prémeyzel,01300,prémeyzel-01300
102,arandas,01230,arandas-01230
103,châtenay,01320,châtenay-01320
104,innimond,01680,innimond-01680
105,boz,01190,boz-01190
106,briord,01470,briord-01470
107,reyrieux,01600,reyrieux-01600
108,matafelon-granges,01580,matafelon-granges-01580
109,drom,01250,drom-01250
110,châtillon-en-michaille,01200,châtillon-en-michaille-01200
111,polliat,01310,polliat-01310
112,vesancy,01170,vesancy-01170
113,massieux,01600,massieux-01600
114,saint-cyr-sur-menthon,01380,saint-cyr-sur-menthon-01380
115,serrières-sur-ain,01450,serrières-sur-ain-01450
116,nivollet-montgriffon,01230,nivollet-montgriffon-01230
117,izernore,01580,izernore-01580
118,saint-nizier-le-désert,01320,saint-nizier-le-désert-01320
119,guéreins,01090,guéreins-01090
120,illiat,01140,illiat-01140
121,la tranclière,01160,la tranclière-01160
122,saint-didier-de-formans,01600,saint-didier-de-formans-01600
123,mérignat,01450,mérignat-01450
124,saint-éloi,01800,saint-éloi-01800
125,la chapelle-du-châtelard,01240,la chapelle-du-châtelard-01240
126,saint-jean-de-niost,01800,saint-jean-de-niost-01800
127,savigneux,01480,savigneux-01480
128,nattages,01300,nattages-01300
129,saint-benoît,01300,saint-benoît-01300
130,douvres,01500,douvres-01500
131,francheleins,01090,francheleins-01090
132,dortan,01590,dortan-01590
133,saint-germain-les-paroisses,01300,saint-germain-les-paroisses-01300
134,miribel,01700,miribel-01700
135,lancrans,01200,lancrans-01200
136,échenevex,01170,échenevex-01170
137,saint-jean-sur-veyle,01290,saint-jean-sur-veyle-01290
138,billiat,01200,billiat-01200
139,l'abergement-de-varey,01640,l'abergement-de-varey-01640
140,villeneuve,01480,villeneuve-01480
141,villars-les-dombes,01330,villars-les-dombes-01330
142,thézillieu,01110,thézillieu-01110
143,saint-étienne-sur-reyssouze,01190,saint-étienne-sur-reyssouze-01190
144,souclin,01150,souclin-01150
145,saint-just,01250,saint-just-01250
146,civrieux,01390,civrieux-01390
147,argis,01230,argis-01230
148,talissieu,01510,talissieu-01510
149,birieux,01330,birieux-01330
150,saint-julien-sur-veyle,01540,saint-julien-sur-veyle-01540
151,thoiry,01710,thoiry-01710
152,laiz,01290,laiz-01290
153,cressin-rochefort,01350,cressin-rochefort-01350
154,saint-champ,01300,saint-champ-01300
155,saint-georges-sur-renon,01400,saint-georges-sur-renon-01400
156,lantenay,01430,lantenay-01430
157,vernoux,01560,vernoux-01560
158,cormaranche-en-bugey,01110,cormaranche-en-bugey-01110
159,sainte-euphémie,01600,sainte-euphémie-01600
160,beaupont,01270,beaupont-01270
161,brens,01300,brens-01300
162,ramasse,01250,ramasse-01250
163,divonne-les-bains,01220,divonne-les-bains-01220
164,léaz,01200,léaz-01200
165,villes,01200,villes-01200
166,saint-julien-sur-reyssouze,01560,saint-julien-sur-reyssouze-01560
167,groslée,01680,groslée-01680
168,vandeins,01660,vandeins-01660
169,verjon,01270,verjon-01270
170,saint-andré-sur-vieux-jonc,01240,saint-andré-sur-vieux-jonc-01240
171,saint-andré-d'huiriat,01290,saint-andré-d'huiriat-01290
172,grilly,01220,grilly-01220
173,cessy,01170,cessy-01170
174,ordonnaz,01510,ordonnaz-01510
175,vescours,01560,vescours-01560
176,meillonnas,01370,meillonnas-01370
177,géovreisset,01100,géovreisset-01100
178,ceyzérieu,01350,ceyzérieu-01350
179,béard-géovreissiat,01460,béard-géovreissiat-01460
180,la burbanche,01510,la burbanche-01510
181,perrex,01540,perrex-01540
182,villemotier,01270,villemotier-01270
183,jasseron,01250,jasseron-01250
184,corveissiat,01250,corveissiat-01250
185,journans,01250,journans-01250
186,sermoyer,01190,sermoyer-01190
187,charix,01130,charix-01130
188,arbignieu,01300,arbignieu-01300
189,leyssard,01450,leyssard-01450
190,saint-jean-de-thurigneux,01390,saint-jean-de-thurigneux-01390
191,frans,01480,frans-01480
192,tenay,01230,tenay-01230
193,bâgé-la-ville,01380,bâgé-la-ville-01380
194,montmerle-sur-saône,01090,montmerle-sur-saône-01090
195,courmangoux,01370,courmangoux-01370
196,baneins,01990,baneins-01990
197,lagnieu,01150,lagnieu-01150
198,attignat,01340,attignat-01340
199,saint-andré-de-bâgé,01380,saint-andré-de-bâgé-01380
200,pont-de-vaux,01190,pont-de-vaux-01190
201,ambérieu-en-bugey,01500,ambérieu-en-bugey-01500
202,peyzieux-sur-saône,01140,peyzieux-sur-saône-01140
203,crozet,01170,crozet-01170
204,seyssel,01420,seyssel-01420
205,beynost,01700,beynost-01700
206,versonnex,01210,versonnex-01210
207,saint-laurent-sur-saône,01620,saint-laurent-sur-saône-01620
208,artemare,01510,artemare-01510
209,montracol,01310,montracol-01310
210,parves,01300,parves-01300
211,pugieu,01510,pugieu-01510
212,virieu-le-grand,01510,virieu-le-grand-01510
213,saint-rémy,01310,saint-rémy-01310
214,rancé,01390,rancé-01390
215,grièges,01290,grièges-01290
216,grand-corent,01250,grand-corent-01250
217,outriaz,01430,outriaz-01430
218,montagnieu,01470,montagnieu-01470
219,champagne-en-valromey,01260,champagne-en-valromey-01260
220,ambérieux-en-dombes,01330,ambérieux-en-dombes-01330
221,la boisse,01120,la boisse-01120
222,parcieux,01600,parcieux-01600
223,saint-didier-d'aussiat,01340,saint-didier-d'aussiat-01340
224,saint-nizier-le-bouchoux,01560,saint-nizier-le-bouchoux-01560
225,ars-sur-formans,01480,ars-sur-formans-01480
226,anglefort,01350,anglefort-01350
227,corlier,01110,corlier-01110
228,ferney-voltaire,01210,ferney-voltaire-01210
229,saint-maurice-de-rémens,01500,saint-maurice-de-rémens-01500
230,châtillon-la-palud,01320,châtillon-la-palud-01320
231,saint-sulpice,01340,saint-sulpice-01340
232,saint-bois,01300,saint-bois-01300
233,virignin,01300,virignin-01300
234,prémillieu,01110,prémillieu-01110
235,genouilleux,01090,genouilleux-01090
236,reyssouze,01190,reyssouze-01190
237,collonges,01550,collonges-01550
238,saint-germain-de-joux,01130,saint-germain-de-joux-01130
239,brégnier-cordon,01300,brégnier-cordon-01300
240,saint-martin-le-châtel,01310,saint-martin-le-châtel-01310
241,marignieu,01300,marignieu-01300
242,neyrolles,01130,neyrolles-01130
243,sulignat,01400,sulignat-01400
244,bény,01370,bény-01370
245,injoux-génissiat,01200,injoux-génissiat-01200
246,chanay,01420,chanay-01420
247,châtillon-sur-chalaronne,01400,châtillon-sur-chalaronne-01400
248,farges,01550,farges-01550
249,saint-alban,01450,saint-alban-01450
250,curtafond,01310,curtafond-01310
251,viriat,01440,viriat-01440
252,belleydoux,01130,belleydoux-01130
253,bâgé-le-châtel,01380,bâgé-le-châtel-01380
254,sainte-olive,01330,sainte-olive-01330
255,saint-genis-sur-menthon,01380,saint-genis-sur-menthon-01380
256,domsure,01270,domsure-01270
257,chavannes-sur-suran,01250,chavannes-sur-suran-01250
258,priay,01160,priay-01160
259,peyrieu,01300,peyrieu-01300
260,lalleyriat,01130,lalleyriat-01130
261,sergy,01630,sergy-01630
262,saint-martin-du-frêne,01430,saint-martin-du-frêne-01430
263,saint-maurice-de-beynost,01700,saint-maurice-de-beynost-01700
264,servas,01240,servas-01240
265,cuzieu,01300,cuzieu-01300
266,jayat,01340,jayat-01340
267,lavours,01350,lavours-01350
268,chevroux,01190,chevroux-01190
269,pollieu,01350,pollieu-01350
270,béligneux,01360,béligneux-01360
271,brénaz,01260,brénaz-01260
272,bénonces,01470,bénonces-01470
273,saint-jean-le-vieux,01640,saint-jean-le-vieux-01640
274,beauregard,01480,beauregard-01480
275,oyonnax,01100,oyonnax-01100
276,mionnay,01390,mionnay-01390
277,germagnat,01250,germagnat-01250
278,coligny,01270,coligny-01270
279,simandre-sur-suran,01250,simandre-sur-suran-01250
280,l'abergement-clémenciat,01400,l'abergement-clémenciat-01400
281,lescheroux,01560,lescheroux-01560
282,ornex,01210,ornex-01210
283,dommartin,01380,dommartin-01380
284,lompnas,01680,lompnas-01680
285,bettant,01500,bettant-01500
286,armix,01510,armix-01510
287,feillens,01570,feillens-01570
288,chavornay,01510,chavornay-01510
289,challex,01630,challex-01630
290,vongnes,01350,vongnes-01350
291,magnieu,01300,magnieu-01300
292,groissiat,01810,groissiat-01810
293,dompierre-sur-chalaronne,01400,dompierre-sur-chalaronne-01400
294,montluel,01120,montluel-01120
295,le poizat,01130,le poizat-01130
296,hostiaz,01110,hostiaz-01110
297,montanges,01200,montanges-01200
298,sainte-julie,01150,sainte-julie-01150
299,bey,01290,bey-01290
300,sonthonnax-la-montagne,01580,sonthonnax-la-montagne-01580
301,mézériat,01660,mézériat-01660
302,bellignat,01810,bellignat-01810
303,saint-marcel,01390,saint-marcel-01390
304,belley,01300,belley-01300
305,corbonod,01420,corbonod-01420
306,neyron,01700,neyron-01700
307,saint-paul-de-varax,01240,saint-paul-de-varax-01240
308,pressiat,01370,pressiat-01370
309,chazey-bons,01300,chazey-bons-01300
310,servignat,01560,servignat-01560
311,marlieux,01240,marlieux-01240
312,andert-et-condon,01300,andert-et-condon-01300
313,hautecourt-romanèche,01250,hautecourt-romanèche-01250
314,crottet,01620,crottet-01620
315,druillat,01160,druillat-01160
316,dompierre-sur-veyle,01240,dompierre-sur-veyle-01240
317,pérouges,01800,pérouges-01800
318,rignieux-le-franc,01800,rignieux-le-franc-01800
319,giron,01130,giron-01130
320,cerdon,01450,cerdon-01450
321,cruzilles-lès-mépillat,01290,cruzilles-lès-mépillat-01290
322,lélex,01410,lélex-01410
323,lhôpital,01420,lhôpital-01420
324,ségny,01170,ségny-01170
325,cheignieu-la-balme,01510,cheignieu-la-balme-01510
326,saint-vulbas,01150,saint-vulbas-01150
327,échallon,01130,échallon-01130
328,le montellier,01800,le montellier-01800
329,martignat,01810,martignat-01810
330,ceyzériat,01250,ceyzériat-01250
331,montcet,01310,montcet-01310
332,vonnas,01540,vonnas-01540
333,buellas,01310,buellas-01310
334,saint-bénigne,01190,saint-bénigne-01190
335,chevillard,01430,chevillard-01430
336,bouligneux,01330,bouligneux-01330
337,contrevoz,01300,contrevoz-01300
338,champdor,01110,champdor-01110
339,port,01460,port-01460
340,surjoux,01420,surjoux-01420
341,champfromier,01410,champfromier-01410
342,vésines,01570,vésines-01570
343,seillonnaz,01470,seillonnaz-01470
344,varambon,01160,varambon-01160
345,le grand-abergement,01260,le grand-abergement-01260
346,jassans-riottier,01480,jassans-riottier-01480
347,asnières-sur-saône,01570,asnières-sur-saône-01570
348,condamine,01430,condamine-01430
349,lhuis,01680,lhuis-01680
350,romans,01400,romans-01400
351,pizay,01120,pizay-01120
352,certines,01240,certines-01240
353,ruffieu,01260,ruffieu-01260
354,meximieux,01800,meximieux-01800
355,saint-rambert-en-bugey,01230,saint-rambert-en-bugey-01230
356,ambronay,01500,ambronay-01500
357,cize,01250,cize-01250
358,saint-germain-sur-renon,01240,saint-germain-sur-renon-01240
359,villette-sur-ain,01320,villette-sur-ain-01320
360,dagneux,01120,dagneux-01120
361,boissey,01190,boissey-01190
362,salavre,01270,salavre-01270
363,brion,01460,brion-01460
364,labalme,01450,labalme-01450
365,sauverny,01220,sauverny-01220
366,montceaux,01090,montceaux-01090
367,brénod,01110,brénod-01110
368,misérieux,01600,misérieux-01600
369,prévessin-moëns,01280,prévessin-moëns-01280
370,lent,01240,lent-01240
371,marsonnas,01340,marsonnas-01340
372,manziat,01570,manziat-01570
373,trévoux,01600,trévoux-01600
374,bellegarde-sur-valserine,01200,bellegarde-sur-valserine-01200
375,bourg-en-bresse,01000,bourg-en-bresse-01000
376,confort,01200,confort-01200
377,saint-denis-lès-bourg,01000,saint-denis-lès-bourg-01000
378,massignieu-de-rives,01300,massignieu-de-rives-01300
379,saint-étienne-sur-chalaronne,01140,saint-étienne-sur-chalaronne-01140
380,bohas-meyriat-rignat,01250,bohas-meyriat-rignat-01250
381,chevry,01170,chevry-01170
382,fareins,01480,fareins-01480
383,gorrevod,01190,gorrevod-01190
384,valeins,01140,valeins-01140
385,vieu-d'izenave,01430,vieu-d'izenave-01430
386,toussieux,01600,toussieux-01600
387,arbigny,01190,arbigny-01190
388,malafretaz,01340,malafretaz-01340
389,samognat,01580,samognat-01580
390,cras-sur-reyssouze,01340,cras-sur-reyssouze-01340
391,messimy-sur-saône,01480,messimy-sur-saône-01480
392,pougny,01550,pougny-01550
393,sandrans,01400,sandrans-01400
394,pont-de-veyle,01290,pont-de-veyle-01290
395,mijoux,01170,mijoux-01170
396,saint-jean-de-gonville,01630,saint-jean-de-gonville-01630
397,saint-andré-le-bouchoux,01240,saint-andré-le-bouchoux-01240
398,chaneins,01990,chaneins-01990
399,joyeux,01800,joyeux-01800
400,tramoyes,01390,tramoyes-01390
401,biziat,01290,biziat-01290
402,izenave,01430,izenave-01430
403,belmont-luthézieu,01260,belmont-luthézieu-01260
404,arbent,01100,arbent-01100
405,sutrieu,01260,sutrieu-01260
406,serrières-de-briord,01470,serrières-de-briord-01470
407,aranc,01110,aranc-01110
408,chaley,01230,chaley-01230
409,curciat-dongalon,01560,curciat-dongalon-01560
410,loyettes,01360,loyettes-01360
411,gex,01170,gex-01170
412,courtes,01560,courtes-01560
413,béréziat,01340,béréziat-01340
414,lapeyrouse,01330,lapeyrouse-01330
